Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close1,Volume,Open,High,Low,Close,Adj Close2,Volume,Open,High,Low,Close,Adj Close3,Volume
2019-07-08,200.809998,201.399994,198.410004,200.020004,197.661011,25338600,378.190002,378.25,375.359985,376.160004,376.160004,3113400,195.190002,196.679993,193.639999,195.759995,195.759995,9723900,231.240005,232.25,228.660004,230.339996,230.339996,5880500
2019-07-09,199.199997,201.509995,198.809998,201.240005,198.866638,20578000,379.059998,384.76001,377.5,379.929993,379.929993,6932800,194.970001,199.460007,194.889999,199.210007,199.210007,14698600,228.970001,231,227.279999,230.059998,230.059998,6190800
2019-07-10,201.850006,203.729996,201.559998,203.229996,200.83316,17897100,382.769989,384.339996,362.679993,381,381,5878800,200,202.960007,199.669998,202.729996,202.729996,20571700,234.149994,238.940002,233.139999,238.919998,238.919998,9145700
2019-07-11,203.309998,204.389999,201.710007,201.75,199.370621,20191800,381.100006,384.540009,378.799988,379.5,379.5,4336300,203.259995,203.800003,200.210007,201.229996,201.229996,13678500,238.139999,241.5,235.800003,238.600006,238.600006,7514400
2019-07-12,202.449997,204,202.199997,203.300003,200.902344,17595200,378.679993,379.73999,372.790009,373.25,373.25,6636900,199.679993,205.300003,199.160004,204.869995,204.869995,15366300,239.75,245.380005,239.710007,245.080002,245.080002,9200500
2019-07-15,204.089996,205.869995,204,205.210007,202.78981,16947400,372.940002,373.679993,362.299988,366.600006,366.600006,7944700,204.25,205.330002,201.820007,203.910004,203.910004,16030300,248,254.419998,244.860001,253.5,253.5,11000100
2019-07-16,204.589996,206.110001,203.5,204.5,202.088181,16866800,370.089996,371.339996,364.920013,365.98999,365.98999,5863200,203.889999,205.470001,203.100006,203.839996,203.839996,12132700,249.300003,253.529999,247.929993,252.380005,252.380005,8149000
2019-07-17,204.050003,205.089996,203.270004,203.350006,200.951736,14107500,366.25,366.5,361.75,362.440002,362.440002,13639500,204.179993,204.360001,201.589996,201.800003,201.800003,12083700,255.669998,258.309998,253.350006,254.860001,254.860001,9764700
2019-07-18,204,205.880005,203.699997,205.660004,203.234497,18582200,323.76001,329.850006,320.299988,325.209991,325.209991,31305900,200.149994,202.470001,199.380005,200.779999,200.779999,11956600,255.050003,255.75,251.889999,253.539993,253.539993,4764500
2019-07-19,205.789993,206.5,202.360001,202.589996,200.200699,20929300,323.399994,325.850006,314.230011,315.100006,315.100006,16302500,202.179993,202.330002,198.070007,198.360001,198.360001,12098300,255.690002,259.959991,254.619995,258.179993,258.179993,7048400
2019-07-22,203.649994,207.229996,203.610001,207.220001,204.776108,22277900,312,314.540009,305.809998,310.619995,310.619995,17718000,199.910004,202.570007,198.809998,202.320007,202.320007,13589000,258.75,262.149994,254.190002,255.679993,255.679993,6842400
2019-07-23,208.460007,208.910004,207.289993,208.839996,206.376984,18355200,311.440002,313.5,306,307.299988,307.299988,9171100,202.839996,204.240005,200.960007,202.360001,202.360001,14583700,256.709991,260.480011,254.5,260.170013,260.170013,5023100
2019-07-24,207.669998,209.149994,207.169998,208.669998,206.209015,14991600,310.51001,319.98999,307.25,317.940002,317.940002,11961800,197.630005,204.809998,197.220001,204.660004,204.660004,32532500,259.170013,266.070007,258.160004,264.880005,264.880005,11072800
2019-07-25,208.889999,209.240005,206.729996,207.020004,204.578476,13909600,318.859985,327.690002,316.299988,326.459991,326.459991,10798500,206.699997,208.660004,198.259995,200.710007,200.710007,39889900,233.5,234.5,225.550003,228.820007,228.820007,22418300
2019-07-26,207.479996,209.729996,207.139999,207.740005,205.289978,17618900,328.790009,336,327.5,335.779999,335.779999,10847500,200.190002,202.880005,196.25,199.75,199.75,24434000,226.919998,230.259995,222.25,228.039993,228.039993,10027700
2019-07-29,208.460007,210.639999,208.440002,209.679993,207.207077,21673400,335.980011,336.399994,328.769989,332.700012,332.700012,5782800,199,199.630005,195.300003,195.940002,195.940002,16530800,227.089996,235.940002,226.029999,235.770004,235.770004,9273300
2019-07-30,208.759995,210.160004,207.309998,208.779999,206.317688,33935700,329.200012,329.649994,323.230011,325.929993,325.929993,6029300,195.389999,198.710007,193.5,197.039993,197.039993,11903600,232.899994,243.360001,232.179993,242.259995,242.259995,8109000
2019-07-31,216.419998,221.369995,211.300003,213.039993,210.527466,69281400,325.160004,331.769989,318.529999,322.98999,322.98999,6259500,196.949997,198.759995,192.679993,194.229996,194.229996,14593500,243,246.679993,236.649994,241.610001,241.610001,9178200
2019-08-01,213.899994,218.029999,206.740005,208.429993,205.971817,54017900,324.25,328.579987,318.73999,319.5,319.5,6563200,194.169998,198.470001,190.880005,192.729996,192.729996,17777000,242.649994,244.509995,231.770004,233.850006,233.850006,8259500
2019-08-02,205.529999,206.429993,201.630005,204.020004,201.613846,40862100,317.48999,319.410004,311.799988,318.829987,318.829987,6280300,191.100006,192.619995,188.070007,189.020004,189.020004,15297000,231.350006,236.270004,229.229996,234.339996,234.339996,6136500
2019-08-05,197.990005,198.649994,192.580002,193.339996,191.059784,52393000,310.959991,313.420013,304.679993,307.630005,307.630005,8692500,184.690002,185.669998,179.339996,181.729996,181.729996,23086700,229.600006,231.369995,225.779999,228.320007,228.320007,7028300
2019-08-06,196.309998,198.070007,194.039993,197,194.67662,35824800,310.579987,311.880005,305.299988,310.100006,310.100006,6179100,183.690002,185.789993,183.089996,184.509995,184.509995,18035700,231.880005,232.5,225.75,230.75,230.75,5564200
2019-08-07,195.410004,199.559998,193.820007,199.039993,196.692566,33364400,302.559998,305,296.809998,304.290009,304.290009,9322400,183.600006,186.369995,181.220001,185.149994,185.149994,15833200,226.5,233.570007,225.800003,233.419998,233.419998,4776500
2019-08-08,200.199997,203.529999,199.389999,203.429993,201.030792,27009500,311.029999,316.359985,306.630005,315.899994,315.899994,5905900,186.619995,190.339996,184.050003,190.160004,190.160004,14828900,234.449997,239.800003,232.649994,238.300003,238.300003,5274300
2019-08-09,201.300003,202.759995,199.289993,200.990005,199.374222,24619700,313.73999,316.640015,305.679993,308.929993,308.929993,5349100,190,190.979996,187.119995,187.850006,187.850006,11058800,236.050003,238.960007,233.809998,235.009995,235.009995,3898200
2019-08-12,199.619995,202.050003,199.149994,200.479996,198.868317,22474900,305.459991,312.890015,303.23999,310.829987,310.829987,6531700,186.850006,187.589996,184.460007,185.369995,185.369995,10936300,232.990005,235.770004,228.75,229.009995,229.009995,4663900
2019-08-13,201.020004,212.139999,200.479996,208.970001,207.290085,47218500,309.769989,316.429993,308.160004,312.279999,312.279999,5289400,185.520004,191.380005,185.369995,188.449997,188.449997,13577000,228.809998,236,227.550003,235,235,4848100
2019-08-14,203.160004,206.440002,202.589996,202.75,201.120071,36547400,308.01001,308.410004,298.01001,299.109985,299.109985,7355800,185.800003,185.990005,179.309998,179.710007,179.710007,18903700,231.210007,231.5,216.690002,219.619995,219.619995,9562600
2019-08-15,203.460007,205.139999,199.669998,201.740005,200.118195,27227400,299.5,300.630005,288,295.76001,295.76001,9629200,180.949997,183.199997,180.029999,182.589996,182.589996,12925900,220.860001,221.559998,211.550003,215.639999,215.639999,8159600
2019-08-16,204.279999,207.160004,203.839996,206.5,204.83992,27620400,298.859985,303.549988,296.269989,302.799988,302.799988,6905800,183.75,185.100006,182.360001,183.699997,183.699997,12654600,216.660004,222.240005,216.020004,219.940002,219.940002,5098500
2019-08-19,210.619995,212.729996,210.029999,210.350006,208.658981,24413600,306.25,311.75,304.75,309.380005,309.380005,4942200,186.009995,187.5,184.850006,186.169998,186.169998,9691200,224.210007,227.830002,221.699997,226.830002,226.830002,5309600
2019-08-20,210.880005,213.350006,210.320007,210.360001,208.6689,26884300,304.570007,305,297.679993,298.98999,298.98999,7349900,185.449997,186,182.389999,183.809998,183.809998,10083400,227.619995,229.089996,224.539993,225.860001,225.860001,4125200
2019-08-21,212.990005,213.649994,211.600006,212.639999,210.930573,21535400,301.609985,302.880005,296.200012,297.809998,297.809998,5685400,185,185.899994,183.139999,183.550003,183.550003,8398200,222.009995,223.220001,217.600006,220.830002,220.830002,7794300
2019-08-22,213.190002,214.440002,210.75,212.460007,210.752029,22253700,298.649994,300.329987,293.149994,296.929993,296.929993,4974200,183.429993,184.110001,179.910004,182.039993,182.039993,10821400,222.800003,225.399994,218.220001,222.149994,222.149994,6559000
2019-08-23,209.429993,212.050003,201,202.639999,201.010971,46818000,295,299.01001,290.320007,291.440002,291.440002,6324900,180.839996,183.130005,176.660004,177.75,177.75,17323400,219.970001,221.169998,211,211.399994,211.399994,8538600
2019-08-26,205.860001,207.190002,205.059998,206.490005,204.830002,26043600,295.23999,296.950012,292.5,294.980011,294.980011,4695700,179.399994,180.5,178.240005,180.360001,180.360001,8773600,213.600006,215.020004,211.539993,215,215,5051900
2019-08-27,207.860001,208.550003,203.529999,204.160004,202.518738,25873300,294.540009,296.769989,287.200012,291.029999,291.029999,6309400,181.929993,184.039993,181.009995,181.300003,181.300003,14399600,215.740005,218.800003,212.029999,214.080002,214.080002,5416200
2019-08-28,204.100006,205.720001,203.320007,205.529999,203.877731,15938800,289.470001,292.820007,287.75,291.769989,291.769989,3955700,180.529999,181.949997,178.919998,181.759995,181.759995,9386100,213.690002,217.25,212.309998,215.589996,215.589996,3225500
2019-08-29,208.5,209.320007,206.660004,209.009995,207.329742,20990500,295,299.929993,294.98999,296.779999,296.779999,4388500,183.770004,186.080002,183.470001,185.570007,185.570007,10128700,219,223.399994,218,221.710007,221.710007,5179500
2019-08-30,210.160004,210.449997,207.199997,208.740005,207.06192,21143400,298.779999,298.940002,290.850006,293.75,293.75,4446400,186.779999,186.800003,183.460007,185.669998,185.669998,10774500,229.149994,232.440002,224.210007,225.610001,225.610001,9320600
2019-09-03,206.429993,206.979996,204.220001,205.699997,204.046341,20023000,290.820007,293.899994,288.059998,289.290009,289.290009,3682800,184,185.669998,182.110001,182.389999,182.389999,9779400,224.080002,228.949997,223.160004,225.009995,225.009995,5354100
2019-09-04,208.389999,209.479996,207.320007,209.190002,207.508316,19188100,291.25,292.380005,286.51001,291.519989,291.519989,4652500,184.649994,187.75,183.889999,187.139999,187.139999,11308000,226.889999,228.460007,219.210007,220.679993,220.679993,5761000
2019-09-05,212,213.970001,211.509995,213.279999,211.565414,23913700,285.320007,293.970001,282.790009,293.25,293.25,8966800,188.529999,191.360001,187.940002,190.899994,190.899994,13876700,222.5,229.800003,220.850006,229.580002,229.580002,7395300
2019-09-06,214.050003,214.419998,212.509995,213.259995,211.545578,19362300,293.350006,293.350006,287.029999,290.170013,290.170013,5166600,190.210007,190.210007,186.350006,187.490005,187.490005,15226800,227.199997,229.639999,225.169998,227.449997,227.449997,4189400
2019-09-09,214.839996,216.440002,211.070007,214.169998,212.448273,27309400,294.809998,301.549988,290.600006,294.339996,294.339996,8232700,187.729996,188.979996,185.850006,188.759995,188.759995,14722400,230,233.759995,229.229996,231.789993,231.789993,4802700
2019-09-10,213.860001,216.779999,211.710007,216.699997,214.957916,31777900,291.160004,297.170013,282.660004,287.98999,287.98999,12320200,187.440002,188.100006,184.550003,186.169998,186.169998,15455900,230.800003,235.539993,228.940002,235.539993,235.539993,4883700
2019-09-11,218.070007,223.710007,217.729996,223.589996,221.792542,44289600,285.700012,292.649994,284.609985,288.269989,288.269989,7405900,186.460007,189.440002,186.080002,188.490005,188.490005,11761700,237.380005,248.169998,236,247.100006,247.100006,10042800
2019-09-12,224.800003,226.419998,222.860001,223.089996,221.296555,32226700,288.100006,292.730011,286.600006,288.859985,288.859985,5010900,189.860001,190.929993,187.229996,187.470001,187.470001,11419800,247.699997,253.5,244.399994,245.869995,245.869995,8581200
2019-09-13,220,220.789993,217.020004,218.75,216.991455,39763300,290.609985,296.619995,290.040009,294.149994,294.149994,6583100,187.330002,187.970001,186.539993,187.190002,187.190002,11441100,246.960007,248.449997,244.869995,245.199997,245.199997,5313100
2019-09-16,217.729996,220.130005,217.559998,219.899994,218.132202,21158100,294.230011,297.429993,289.779999,294.290009,294.290009,5307400,186.929993,187.789993,185.770004,186.220001,186.220001,8444800,246,247.429993,241.169998,242.809998,242.809998,4728100
2019-09-17,219.960007,220.820007,219.119995,220.699997,218.925781,18318700,294.5,299.149994,291.790009,298.600006,298.600006,4777100,186.660004,188.320007,185.539993,188.080002,188.080002,9671100,242.470001,245.600006,240.369995,244.789993,244.789993,3865400
2019-09-18,221.059998,222.850006,219.440002,222.770004,220.979141,25340000,294.98999,296.049988,287.450012,291.559998,291.559998,7811100,188.089996,189.080002,186.009995,188.139999,188.139999,9681900,245,248.169998,242.369995,243.490005,243.490005,4170200
2019-09-19,222.009995,223.759995,220.369995,220.960007,219.183701,22060600,291.559998,293.809998,283.399994,286.600006,286.600006,8461300,188.660004,191.100006,188.149994,190.139999,190.139999,10392700,246,247.940002,244.839996,246.600006,246.600006,4795800
2019-09-20,221.380005,222.559998,217.470001,217.729996,215.97963,55413100,280.26001,282.5,266,270.75,270.75,23832800,190.660004,193.100006,188.119995,189.929993,189.929993,19934200,246.490005,246.949997,238.160004,240.619995,240.619995,6353000
2019-09-23,218.949997,219.839996,217.649994,218.720001,216.961685,19165500,268.350006,273.390015,261.890015,265.920013,265.920013,13478600,189.339996,190.100006,185.210007,186.820007,186.820007,13327600,240,245.179993,239.220001,241.229996,241.229996,4340200
2019-09-24,221.029999,222.490005,217.190002,217.679993,215.930038,31190800,262.5,265,252.279999,254.589996,254.589996,16338200,187.979996,188.039993,180.389999,181.279999,181.279999,18546600,241.520004,241.990005,222.610001,223.210007,223.210007,12891500
2019-09-25,218.550003,221.5,217.139999,221.029999,219.253113,21903400,255.710007,266.600006,253.699997,264.75,264.75,11643800,181.449997,183.419998,177.869995,182.800003,182.800003,18068300,224.559998,228.979996,218.360001,228.699997,228.699997,9427100
2019-09-26,220,220.940002,218.830002,219.889999,218.122284,18833500,266.420013,268.049988,260.200012,263.309998,263.309998,7684000,181.330002,181.399994,177.669998,180.110001,180.110001,16083300,230.660004,243.309998,227.399994,242.559998,242.559998,11884500
2019-09-27,220.539993,220.960007,217.279999,218.820007,217.060898,25352000,266.179993,267.440002,260.390015,263.079987,263.079987,7328300,180.490005,180.759995,175.660004,177.100006,177.100006,14656200,242.199997,248.710007,238.729996,242.130005,242.130005,11116400
2019-09-30,220.899994,224.580002,220.789993,223.970001,222.169479,25977400,264,268.880005,262.779999,267.619995,267.619995,6727200,177.869995,178.669998,176.850006,178.080002,178.080002,10740000,243,243.979996,236.110001,240.869995,240.869995,5879800
2019-10-01,225.070007,228.220001,224.199997,224.589996,222.7845,34805800,267.350006,272.200012,264.029999,269.579987,269.579987,8650300,179.149994,179.839996,174.880005,175.809998,175.809998,17073000,241.5,245.949997,239.130005,244.690002,244.690002,6162600
2019-10-02,223.059998,223.580002,217.929993,218.960007,217.199768,34612300,263.609985,269.350006,262.190002,268.029999,268.029999,7659100,174.839996,176.529999,173.089996,174.600006,174.600006,16151700,243.289993,244.649994,239.429993,243.130005,243.130005,5631400
2019-10-03,218.429993,220.960007,215.130005,220.820007,219.0448,28606500,267.779999,268.839996,257.01001,268.149994,268.149994,8951000,175.570007,179.839996,173.630005,179.380005,179.380005,16086300,231.860001,234.479996,224.279999,233.029999,233.029999,15084500
2019-10-04,225.639999,227.490005,223.889999,227.009995,225.185043,34619700,268.200012,275.480011,266.470001,272.790009,272.790009,9890400,179.550003,180.979996,178.100006,180.449997,180.449997,10430200,231.610001,234.779999,228.070007,231.429993,231.429993,7995000
2019-10-07,226.270004,229.929993,225.839996,227.059998,225.234634,30576500,271.98999,276.679993,271.279999,274.459991,274.459991,6525600,180,181.179993,178.089996,179.679993,179.679993,9178300,229.800003,238.559998,228.550003,237.720001,237.720001,8064200
2019-10-08,225.820007,228.059998,224.330002,224.399994,222.596024,27955000,273.029999,275.529999,270.640015,270.720001,270.720001,6276400,178.259995,180.369995,177.720001,177.75,177.75,9466900,235.869995,243.940002,234.5,240.050003,240.050003,8678200
2019-10-09,227.029999,227.789993,225.639999,227.029999,225.204895,18692600,270.019989,271,264.570007,267.529999,267.529999,6794400,179.160004,180.720001,177.940002,179.850006,179.850006,7556900,241.320007,247.300003,240.649994,244.529999,244.529999,6894400
2019-10-10,227.929993,230.440002,227.300003,230.089996,228.24028,28253400,265.970001,280.529999,265.029999,280.480011,280.480011,10809100,180.320007,181.610001,179.169998,180.029999,180.029999,8605000,245.279999,249.279999,241.580002,244.740005,244.740005,6283300
2019-10-11,232.949997,237.639999,232.309998,236.210007,234.311081,41698900,284.799988,287.869995,282.339996,282.929993,282.929993,8786100,182.149994,186.490005,182.139999,184.190002,184.190002,14930500,247.149994,251.080002,246.809998,247.889999,247.889999,8475400
2019-10-14,234.899994,238.130005,234.669998,235.869995,233.973816,24106900,283.929993,286.929993,282,285.529999,285.529999,5513200,184.199997,184.619995,182.570007,183.279999,183.279999,7006000,247.899994,258.549988,247.130005,256.959991,256.959991,10205000
2019-10-15,236.389999,237.649994,234.880005,235.320007,233.428253,21840000,283.820007,285.869995,279.399994,284.25,284.25,7685600,183.800003,190.380005,183.660004,188.889999,188.889999,15039100,257.700012,260,254.119995,257.890015,257.890015,6432800
2019-10-16,233.369995,235.240005,233.199997,234.369995,232.48587,18475800,283.119995,288.170013,280.73999,286.279999,286.279999,16175900,188.320007,189.699997,186.899994,189.550003,189.550003,10516900,257.390015,262.100006,256.920013,259.75,259.75,6684100
2019-10-17,235.089996,236.149994,233.520004,235.279999,233.388565,16896300,304.48999,308.75,288.299988,293.350006,293.350006,38258900,190.300003,190.839996,188.770004,190.389999,190.389999,9603000,262.5,264.779999,260.170013,261.970001,261.970001,4769300
2019-10-18,234.589996,237.580002,234.289993,236.410004,234.509491,24358400,289.359985,290.899994,273.359985,275.299988,275.299988,23429900,190.229996,191.490005,183.919998,185.850006,185.850006,16874200,260.700012,262.799988,255.100006,256.950012,256.950012,5749800
2019-10-21,237.520004,240.990005,237.320007,240.509995,238.576508,21811800,272.890015,279.940002,269,278.049988,278.049988,12599200,187.039993,189.910004,186.75,189.759995,189.759995,8122600,258.329987,259.5,250.179993,253.5,253.5,5020300
2019-10-22,241.160004,242.199997,239.619995,239.960007,238.030945,20573400,271.160004,275.410004,265.799988,266.690002,266.690002,11802400,190,190.649994,181.5,182.339996,182.339996,19537600,254.320007,258.329987,250.850006,255.580002,255.580002,4600800
2019-10-23,242.100006,243.240005,241.220001,243.179993,241.225052,18957200,268.059998,273.920013,266.630005,271.269989,271.269989,7133500,182.009995,186.380005,182,186.149994,186.149994,12300400,254.5,256.140015,251.350006,254.679993,254.679993,5261100
2019-10-24,244.509995,244.800003,241.809998,243.580002,241.621826,17318800,271.809998,274.019989,268.799988,271.5,271.5,4827400,184.619995,186.729996,182.800003,186.380005,186.380005,11413500,298.369995,304.929993,289.200012,299.679993,299.679993,29720900
2019-10-25,243.160004,246.729996,242.880005,246.580002,244.597717,18369300,270.679993,277.769989,270.179993,276.820007,276.820007,4747800,185.830002,189,185.089996,187.889999,187.889999,8061200,297.720001,330,296.109985,328.130005,328.130005,30006100
2019-10-28,247.419998,249.25,246.720001,249.050003,247.047867,24143200,278.049988,285.75,277.350006,281.859985,281.859985,6248400,187.199997,189.529999,185.080002,189.399994,189.399994,13657900,327.540009,340.839996,322.600006,327.709991,327.709991,18870300
2019-10-29,248.970001,249.75,242.570007,243.289993,241.334152,35709900,281.869995,284.410004,277.549988,281.209991,281.209991,4356200,191.690002,192.529999,188.470001,189.309998,189.309998,13574900,319.98999,324.299988,314.75,316.220001,316.220001,12684300
2019-10-30,244.759995,245.300003,241.210007,243.259995,241.304398,31130500,284.339996,293.48999,283,291.450012,291.450012,9345600,189.559998,190.449997,185.979996,188.25,188.25,28734600,313,318.790009,309.970001,315.01001,315.01001,9641800
